auc,grid
0.89560459341375,"{'colsample_bytree': 0.7810890415965769, 'gamma': 4.75357153204958, 'learning_rate': 0.024639878836228105, 'max_depth': 6, 'min_child_weight': 35.811009476789216, 'n_estimators': 1121, 'reg_lambda': 2.3399178050430396, 'subsample': 0.5290418060840998}"
0.8968265639522064,"{'colsample_bytree': 0.9531616510212273, 'gamma': 3.005575058716044, 'learning_rate': 0.02416145155592091, 'max_depth': 7, 'min_child_weight': 3.3846947416260154, 'n_estimators': 1343, 'reg_lambda': 12.486639612006327, 'subsample': 0.6061695553391381}"
0.8975936453509109,"{'colsample_bytree': 0.7136387385224853, 'gamma': 0.9170225492671691, 'learning_rate': 0.016084844859190754, 'max_depth': 7, 'min_child_weight': 0.42397831318304435, 'n_estimators': 1856, 'reg_lambda': 4.368437102970629, 'subsample': 0.8059264473611898}"
0.8969495201929748,"{'colsample_bytree': 0.6988228512282146, 'gamma': 1.4607232426760908, 'learning_rate': 0.017327236865873834, 'max_depth': 7, 'min_child_weight': 5.436386071969248, 'n_estimators': 1957, 'reg_lambda': 2.995106732375396, 'subsample': 0.7571172192068059}"
0.8966876363054258,"{'colsample_bytree': 0.8573450991017149, 'gamma': 0.23225206359998862, 'learning_rate': 0.02215089703802877, 'max_depth': 6, 'min_child_weight': 27.02995511817258, 'n_estimators': 2297, 'reg_lambda': 14.233283058799998, 'subsample': 0.9828160165372797}"
0.8967330228671194,"{'colsample_bytree': 0.9329390718407614, 'gamma': 1.5230688458668533, 'learning_rate': 0.011953442280127678, 'max_depth': 8, 'min_child_weight': 40.995811129527496, 'n_estimators': 2451, 'reg_lambda': 7.427653651669052, 'subsample': 0.5171942605576092}"
0.8965060589079566,"{'colsample_bytree': 0.9682621407275738, 'gamma': 1.2938999080000846, 'learning_rate': 0.023250445687079638, 'max_depth': 7, 'min_child_weight': 25.50935246947468, 'n_estimators': 1565, 'reg_lambda': 8.200654190149194, 'subsample': 0.5924272277627636}"
0.8967370235062962,"{'colsample_bytree': 0.9893546197175955, 'gamma': 3.8756641168055728, 'learning_rate': 0.028789978831283786, 'max_depth': 7, 'min_child_weight': 55.59953194762765, 'n_estimators': 1815, 'reg_lambda': 4.898111532087531, 'subsample': 0.7852219872026998}"
0.8930241277436218,"{'colsample_bytree': 0.8322919910090383, 'gamma': 4.805860121746745, 'learning_rate': 0.02689067697356303, 'max_depth': 6, 'min_child_weight': 16.280941906433753, 'n_estimators': 2076, 'reg_lambda': 8.801267484957723, 'subsample': 0.982627653632069}"
0.896335379803417,"{'colsample_bytree': 0.8624619866903397, 'gamma': 1.3799959101127168, 'learning_rate': 0.015925470114081648, 'max_depth': 6, 'min_child_weight': 4.47303862078625, 'n_estimators': 1520, 'reg_lambda': 11.583671539449861, 'subsample': 0.5993578407670862}"
0.896652565073667,"{'colsample_bytree': 0.6519327409932608, 'gamma': 4.0773071422741705, 'learning_rate': 0.024137146876952342, 'max_depth': 8, 'min_child_weight': 47.41053243187234, 'n_estimators': 1378, 'reg_lambda': 1.1106697760113553, 'subsample': 0.6792328642721364}"
0.8972665764103481,"{'colsample_bytree': 0.6905541708337954, 'gamma': 4.315517129377968, 'learning_rate': 0.022465962536551157, 'max_depth': 7, 'min_child_weight': 5.724606989424679, 'n_estimators': 1502, 'reg_lambda': 4.664734825734933, 'subsample': 0.6625916610133735}"
0.8966394728818341,"{'colsample_bytree': 0.9053621624183225, 'gamma': 3.1877873567760657, 'learning_rate': 0.027744254851526533, 'max_depth': 6, 'min_child_weight': 22.97561248522739, 'n_estimators': 2485, 'reg_lambda': 12.733707363991257, 'subsample': 0.8608647605824367}"
0.8965552236038673,"{'colsample_bytree': 0.7325947219121345, 'gamma': 1.2803416138066197, 'learning_rate': 0.010808671790768627, 'max_depth': 8, 'min_child_weight': 25.652461101512976, 'n_estimators': 1891, 'reg_lambda': 1.6183714048995668, 'subsample': 0.5157145928433671}"
0.8974218092205807,"{'colsample_bytree': 0.8727436439423232, 'gamma': 1.5717799053816335, 'learning_rate': 0.020171413823294057, 'max_depth': 7, 'min_child_weight': 8.35988726435254, 'n_estimators': 1230, 'reg_lambda': 6.155743845534446, 'subsample': 0.8777755692715243}"
0.8965088936211442,"{'colsample_bytree': 0.7300793579220679, 'gamma': 0.38489954914396496, 'learning_rate': 0.01579502905827536, 'max_depth': 7, 'min_child_weight': 52.82807034091546, 'n_estimators': 1681, 'reg_lambda': 12.121805693466253, 'subsample': 0.8167018782552118}"
0.8943584721869602,"{'colsample_bytree': 0.9550112065657013, 'gamma': 4.018360384495573, 'learning_rate': 0.013731401177720717, 'max_depth': 7, 'min_child_weight': 52.9968155351321, 'n_estimators': 2371, 'reg_lambda': 5.344467571154624, 'subsample': 0.9534142207728771}"
0.8953294170799043,"{'colsample_bytree': 0.7452462872846224, 'gamma': 3.238450602706812, 'learning_rate': 0.010010407539906317, 'max_depth': 6, 'min_child_weight': 51.64383499538061, 'n_estimators': 2382, 'reg_lambda': 2.469837797144126, 'subsample': 0.767044709687721}"
0.8972807099253927,"{'colsample_bytree': 0.8196904899756441, 'gamma': 3.4621801644513517, 'learning_rate': 0.01538824667597043, 'max_depth': 8, 'min_child_weight': 10.097462530375834, 'n_estimators': 2495, 'reg_lambda': 10.545284383427667, 'subsample': 0.681814801189647}"
0.8960701494412732,"{'colsample_bytree': 0.9901237289523362, 'gamma': 4.812236474710556, 'learning_rate': 0.015035645916507284, 'max_depth': 7, 'min_child_weight': 42.73623539546652, 'n_estimators': 1951, 'reg_lambda': 0.5533042103179919, 'subsample': 0.8047821669899484}"
