auc,grid
0.8951412357352294,"{'colsample_bytree': 0.7810890415965769, 'gamma': 4.75357153204958, 'learning_rate': 0.024639878836228105, 'max_depth': 6, 'min_child_weight': 35.811009476789216, 'n_estimators': 1121, 'reg_lambda': 2.3399178050430396, 'subsample': 0.5290418060840998}"
0.896842179350283,"{'colsample_bytree': 0.9531616510212273, 'gamma': 3.005575058716044, 'learning_rate': 0.02416145155592091, 'max_depth': 7, 'min_child_weight': 3.3846947416260154, 'n_estimators': 1343, 'reg_lambda': 12.486639612006327, 'subsample': 0.6061695553391381}"
0.8971347021707922,"{'colsample_bytree': 0.7136387385224853, 'gamma': 0.9170225492671691, 'learning_rate': 0.016084844859190754, 'max_depth': 7, 'min_child_weight': 0.42397831318304435, 'n_estimators': 1856, 'reg_lambda': 4.368437102970629, 'subsample': 0.8059264473611898}"
0.897082057497311,"{'colsample_bytree': 0.6988228512282146, 'gamma': 1.4607232426760908, 'learning_rate': 0.017327236865873834, 'max_depth': 7, 'min_child_weight': 5.436386071969248, 'n_estimators': 1957, 'reg_lambda': 2.995106732375396, 'subsample': 0.7571172192068059}"
0.8964809514482963,"{'colsample_bytree': 0.8573450991017149, 'gamma': 0.23225206359998862, 'learning_rate': 0.02215089703802877, 'max_depth': 6, 'min_child_weight': 27.02995511817258, 'n_estimators': 2297, 'reg_lambda': 14.233283058799998, 'subsample': 0.9828160165372797}"
0.8966737875967298,"{'colsample_bytree': 0.9329390718407614, 'gamma': 1.5230688458668533, 'learning_rate': 0.011953442280127678, 'max_depth': 8, 'min_child_weight': 40.995811129527496, 'n_estimators': 2451, 'reg_lambda': 7.427653651669052, 'subsample': 0.5171942605576092}"
0.896405735871696,"{'colsample_bytree': 0.9682621407275738, 'gamma': 1.2938999080000846, 'learning_rate': 0.023250445687079638, 'max_depth': 7, 'min_child_weight': 25.50935246947468, 'n_estimators': 1565, 'reg_lambda': 8.200654190149194, 'subsample': 0.5924272277627636}"
0.8961388055716596,"{'colsample_bytree': 0.9893546197175955, 'gamma': 3.8756641168055728, 'learning_rate': 0.028789978831283786, 'max_depth': 7, 'min_child_weight': 55.59953194762765, 'n_estimators': 1815, 'reg_lambda': 4.898111532087531, 'subsample': 0.7852219872026998}"
0.8919650308357164,"{'colsample_bytree': 0.8322919910090383, 'gamma': 4.805860121746745, 'learning_rate': 0.02689067697356303, 'max_depth': 6, 'min_child_weight': 16.280941906433753, 'n_estimators': 2076, 'reg_lambda': 8.801267484957723, 'subsample': 0.982627653632069}"
0.8959967317047476,"{'colsample_bytree': 0.8624619866903397, 'gamma': 1.3799959101127168, 'learning_rate': 0.015925470114081648, 'max_depth': 6, 'min_child_weight': 4.47303862078625, 'n_estimators': 1520, 'reg_lambda': 11.583671539449861, 'subsample': 0.5993578407670862}"
